service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10279,1,1,1,1,1,0,0,20121210,20130208
10183,1,1,1,1,1,0,0,20121029,20121207
10201,1,1,1,1,1,1,0,20121210,20130208
10345,1,1,1,1,1,1,0,20121029,20121208
10234,1,1,1,1,1,1,0,20121029,20121208
10875,0,0,0,0,0,0,1,20121104,20121111
10639,0,0,0,0,0,0,1,20121209,20130203
10693,0,0,0,0,0,0,1,20121104,20121202
10346,0,0,0,0,1,0,0,20121102,20121207
10198,0,0,0,0,0,0,1,20121209,20130203
10337,1,1,1,1,1,0,0,20121029,20130208
10338,1,1,1,1,1,0,0,20121126,20121207
10336,1,1,1,1,1,1,0,20121029,20121124
10332,0,0,0,0,1,0,0,20121031,20130208
10333,1,1,1,1,1,1,0,20121029,20130208
10328,0,0,0,0,0,0,1,20121101,20130203
10334,1,0,0,0,0,0,0,20121029,20130204
10335,1,1,1,1,1,1,0,20121029,20130208
10339,1,1,1,1,1,0,0,20121029,20130208
10340,0,0,0,0,0,1,0,20121215,20130202
10205,0,0,0,0,0,0,1,20121101,20121202
10343,0,0,0,0,1,0,0,20121214,20130208
10242,0,0,0,0,0,1,0,20121103,20121208
10342,1,1,1,1,0,0,0,20121210,20130207
10341,1,1,1,1,1,1,0,20121029,20121209
10344,1,1,1,1,0,0,0,20121029,20121206
10600,0,0,0,0,0,1,0,20121103,20130202
10467,0,0,0,0,0,1,1,20121101,20130203
10275,1,1,1,1,1,1,1,20121029,20130208
10621,1,1,1,1,1,0,1,20121029,20130208
10186,0,1,0,0,0,0,0,20121016,20130208
8058,0,0,0,0,0,1,0,20121001,20130208
8064,0,0,0,1,0,0,0,20121001,20130208
8059,0,0,0,0,0,1,1,20121103,20121104
8057,0,0,0,0,0,0,1,20121001,20130208
8063,0,0,0,0,1,1,1,20121102,20121104
8060,0,0,0,0,1,0,0,20121001,20130208
8061,0,0,0,0,1,0,1,20121102,20121104
8062,0,0,0,0,1,1,0,20121102,20121103
10739,0,0,0,0,0,0,1,20121104,20121202
10189,1,1,1,1,1,1,1,20121209,20130208
10408,0,0,0,0,0,1,1,20121209,20130203
10329,1,0,0,0,0,0,0,20121112,20130204
10330,1,1,1,1,1,1,0,20121108,20130208
8056,0,0,0,0,0,1,1,20121124,20121125
10211,0,0,0,0,0,1,1,20121101,20121208
10712,1,1,1,1,1,0,1,20121029,20121207
10190,1,1,1,1,1,1,1,20121029,20121208
8068,1,1,1,0,1,0,0,20121029,20121102
8066,0,0,0,0,0,1,0,20121001,20130208
