service_id,date,exception_type
10279,20121225,2
10279,20130101,2
10183,20121101,2
10201,20121225,2
10201,20130101,2
10234,20121101,2
10693,20121111,2
10198,20121225,1
10198,20130101,1
10337,20121225,2
10337,20130101,2
10332,20121031,1
10333,20121101,2
10333,20121225,2
10333,20130101,2
10328,20121225,1
10328,20130101,1
10328,20121101,1
10334,20130102,1
10335,20121225,2
10335,20130101,2
10339,20121101,2
10339,20121225,2
10339,20130101,2
10205,20121101,1
10342,20121225,2
10342,20130101,2
10467,20121225,1
10467,20130101,1
10467,20121101,1
10186,20130101,1
8058,20121103,1
8064,20121101,1
8057,20121104,1
8060,20121102,1
10876,20130107,1
10876,20130108,1
10876,20130109,1
10876,20130110,1
10876,20130111,1
10876,20130112,1
10876,20130114,1
10876,20130115,1
10876,20130116,1
10876,20130117,1
10876,20130118,1
10876,20130119,1
10876,20130121,1
10876,20130122,1
10876,20130123,1
10876,20130124,1
10876,20130125,1
10876,20130126,1
10876,20130128,1
10876,20130129,1
10876,20130130,1
10876,20130131,1
10876,20130201,1
10876,20130202,1
10876,20130204,1
10876,20130205,1
10876,20130206,1
10876,20130207,1
10876,20130208,1
10408,20121225,1
10408,20130101,1
10331,20121219,1
10331,20121226,1
10331,20121229,1
10331,20130102,1
10331,20130105,1
10331,20130109,1
10331,20130112,1
10331,20130116,1
10331,20130119,1
10331,20130123,1
10331,20130126,1
10331,20130130,1
10331,20130202,1
10331,20130206,1
10331,20121226,2
10331,20121229,2
10331,20130102,2
10331,20130105,2
10329,20121224,2
10329,20121231,2
10330,20121222,2
10330,20121224,2
10330,20121225,2
10330,20121226,2
10330,20121227,2
10330,20121228,2
10330,20121229,2
10330,20121231,2
10330,20130101,2
10330,20130102,2
10330,20130103,2
10330,20130104,2
10330,20130105,2
10330,20121109,2
10211,20121101,1
8066,20121103,1
8069,20121101,2
8070,20121101,1
10577,20121114,1
10576,20121115,1
10630,20121108,1
10559,20121107,1
10559,20121108,1
10583,20121107,1
10583,20121108,1
10349,20121125,1
10582,20121108,1
10582,20121109,1
10582,20121105,2
10203,20121130,1
10356,20121207,1
10372,20121104,1
10502,20121101,2
10440,20121101,2
10440,20121102,2
10448,20121101,1
10246,20121202,1
10424,20121102,1
10489,20121206,1
10358,20121208,1
10531,20121101,2
10531,20121102,2
10584,20121202,1
10584,20121106,1
10584,20121107,1
10584,20121108,1
10584,20121109,1
10584,20121029,1
10584,20121030,1
10584,20121031,1
10584,20121203,1
10574,20121203,1
10445,20121201,1
10423,20121103,1
10993,20121101,2
10993,20121102,2
10988,20121225,2
10988,20130101,2
10883,20121228,2
10883,20130104,2
