route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
DUA800853100,DUA853,"TER","Beauvais <=> Beauvais Tillé Aéroport",,2,,000000,
DUA800803102,DUA803,"TER","Bonneval <=> Châteaudun",,2,,000000,
DUA800853103,DUA853,"TER","Chantilly Gouvieux <=> Senlis",,2,,000000,
DUA800854100,DUA854,"J","Conflans Ste Honorine <=> Les Mureaux",,3,,000000,
DUA800804159,DUA804,"D","Corbeil Essonnes - Malesherbes",,3,,000000,
DUA800850100,DUA850,"Bus","Coulommiers <=> La Ferté Gaucher Centre",,3,,000000,
DUA800853101,DUA853,"Bus","Creil <=> Aéroport CDG 1",,3,,000000,
DUA800853102,DUA853,"Bus","Crépy en Valois <=> Aéroport CDG 1",,3,,000000,
DUA800803101,DUA803,"Bus","Dourdan <=> Châteaudun",,3,,000000,
DUA800803105,DUA803,"Bus","Etampes <=> Angerville",,3,,000000,
DUA800804162,DUA804,"Garges Sar","Garges Sarcelles - Pierrefitte Stains",,3,,,
DUA800804100,DUA804,"D","La Ferté Alais <=> Corbeil Essonnes",,3,,000000,
DUA800851101,DUA851,"D","Le Coudray Montceaux <=> Corbeil Essonnes",,3,,000000,
DUA800854101,DUA854,"J","Les Mureaux <=> Mantes la Jolie",,3,,000000,
DUA800850103,DUA850,"P","Longueville => Provins",,3,,000000,
DUA800852104,DUA852,"Bus","Ménerville <=> Rosny sur Seine",,3,,000000,
DUA800853104,DUA853,"Nanteuil l","Nanteuil le Haudouin <=> Crépy en Valois",,3,,,
DUA800854160,DUA854,"Noisy le R","Noisy le Roi - St Germain Grande Ceinture",,3,,,
DUA800852149,DUA852,"Bus","Pereire Levallois - Ampère Wagram",,3,,000000,
DUA800803104,DUA803,"Bus","Pont Cardinet <=> Porte d'Asnière",,3,,000000,
DUA800852151,DUA852,"Bus","Pont Cardinet - Pereire Saussure",,3,,000000,
DUA800803103,DUA803,"C","Péreire <=> Pont Cardinet",,3,,000000,
DUA800853105,DUA853,"Senlis <=>","Senlis <=> Creil",,3,,,
DUA800850519,DUA850,"Spécial Tr","Spécial Travaux Vaires Torcy - Meaux",,3,,,
DUA800850521,DUA850,"Spécial Tr","Spécial Travaux Vaires Torcy - La Ferté sous Jouarre",,3,,,
DUA800850520,DUA850,"Spécial Tr","Spécial Travaux Vaires Torcy - Château Thierry",,3,,,
DUA800850512,DUA850,"Spécial Tr","Spécial Travaux Chelles Gournay - Le Raincy Villemomble",,3,,,
DUA800850508,DUA850,"Spécial Tr","Spécial Travaux Meaux - La Ferté Milon",,3,,,
DUA800850518,DUA850,"Spécial Tr","Spécial Travaux Chateau Thierry - Gare de l\'Est",,3,,000000,
DUA800850516,DUA850,"Spécial Tr","Spécial Travaux Gretz Armainvilliers - Tournan",,3,,,
DUA800850534,DUA850,"Spécial Tr","Spécial Travaux Tournan - Nogent le Perreux",,3,,,
DUA800850537,DUA850,"Spécial Tr","Spécial Travaux Tournan - Gare de l'Est",,3,,,
DUA800850539,DUA850,"Spécial Tr","Spécial Travaux Château Thierry - La Ferté sous Jouarre",,3,,,
DUA800850533,DUA850,"Spécial Tr","Spécial Travaux Nogent le Perreux - Provins",,3,,,
DUA800850526,DUA850,"Spécial Tr","Spécial Travaux Tournan - Provins",,3,,,
DUA800850531,DUA850,"Spécial Tr","Spécial Travaux Meaux - Lagny Thorigny",,3,,,
DUA800850532,DUA850,"Spécial Tr","Spécial Travaux Nogent le Perreux - Coulommiers",,3,,,
DUA800850506,DUA850,"Spécial Tr","Spécial Travaux Chateau Thierry - Meaux",,3,,,
DUA800804539,DUA804,"Spécial Tr","Spécial Travaux Corbeil Essonnes - La Ferté Alais",,3,,,
DUA800804541,DUA804,"Spécial Tr","Spécial Travaux Gare du Nord - Creil",,3,,,
DUA800804542,DUA804,"Spécial Tr","Spécial Travaux Melun - Gare de Lyon",,3,,,
DUA800804538,DUA804,"Spécial Tr","Spécial Travaux Orry la Ville - Gare de l'Est",,3,,,
DUA800804525,DUA804,"Spécial Tr","Spécial Travaux Corbeil Essonnes - Gare de Lyon via Ris Orangis",,3,,000000,
DUA800804529,DUA804,"Spécial Tr","Spécial Travaux Melun - Corbeil Essonnes",,3,,,
DUA800804530,DUA804,"Spécial Tr","Spécial Travaux Stade De France St Denis - Goussainville",,3,,000000,
DUA800805501,DUA805,"Spécial Tr","Spécial Travaux Villiers Sur Marne - Nogent Le Perreux",,3,,,
DUA800805503,DUA805,"Spécial Tr","Spécial Travaux Villiers sur Marne - Gare de l'Est",,3,,,
DUA800805515,DUA805,"Spécial Tr","Spécial Travaux Bondy - Villiers sur Marne",,3,,,
DUA800805500,DUA805,"Spécial Tr","Spécial Travaux Nogent le Perreux - Tournan",,3,,,
DUA800804551,DUA804,"Spécial Tr","Spécial Travaux Goussainville - Gare du Nord",,3,,,
DUA800804552,DUA804,"Spécial Tr","Spécial Travaux Orry la Ville Coye - Gare du Nord",,3,,,
DUA800804553,DUA804,"Spécial Tr","Spécial Travaux Gare du Nord - Villiers le Bel",,3,,,
DUA800853534,DUA853,"Spécial Tr","Spécial Travaux Montsoult Maffliers - Gare Du Nord GL",,3,,,
DUA800853535,DUA853,"Spécial Tr","Spécial Travaux St Denis Stade De France - Persan Beaumont",,3,,,
DUA800853536,DUA853,"Spécial Tr","Spécial Travaux Persan Beaumont - Gare Du Nord GL via Nointel",,3,,,
DUA800853531,DUA853,"Spécial Tr","Spécial Travaux Ermont Eaubonne - Gare du Nord GL",,3,,,
DUA800853510,DUA853,"Spécial Tr","Spécial Travaux Ermont Eaubonne - Persan Beaumont",,3,,,
DUA800853519,DUA853,"Spécial Tr","Spécial Travaux Mitry Claye - Crépy en Valois",,3,,,
DUA800853521,DUA853,"Spécial Tr","Spécial Travaux Ermont Eaubonne - Paris Est",,3,,,
DUA800854531,DUA854,"Spécial Tr","Spécial Travaux Poissy - Sartrouville",,3,,,
DUA800854558,DUA854,"Spécial Tr","Spécial Travaux Sartrouville - Mantes la Jolie",,3,,,
DUA800854518,DUA854,"Spécial Tr","Spécial Travaux Poissy - Mantes la Jolie",,3,,,
DUA800853551,DUA853,"Bus","Spécial Travaux Creil - Beauvais",,3,,000000,
