route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
DUA800853100,10279,DUASN048365R04002332608,"48365",1,,
DUA800853100,10183,DUASN048365R04001332609,"48365",1,,
DUA800853100,10201,DUASN048367R04002332610,"48367",1,,
DUA800853100,10183,DUASN048359R04001332611,"48359",1,,
DUA800853100,10279,DUASN048369R04003332612,"48369",1,,
DUA800853100,10183,DUASN048369R04001332613,"48369",1,,
DUA800853100,10345,DUASN048367R04001332614,"48367",1,,
DUA800853100,10201,DUASN048335R04002332615,"48335",1,,
DUA800853100,10201,DUASN048337R04003332616,"48337",1,,
DUA800853100,10234,DUASN048335R04001332617,"48335",1,,
DUA800853100,10875,DUASN048347R03001332618,"48347",1,,
DUA800853100,10279,DUASN048357R05002332619,"48357",1,,
DUA800853100,10183,DUASN048357R05001332620,"48357",1,,
DUA800853100,10279,DUASN048359R04003332621,"48359",1,,
DUA800853100,10875,DUASN048373R04001332622,"48373",1,,
DUA800853100,10639,DUASN048373R04003332623,"48373",1,,
DUA800853100,10345,DUASN048337R04001332624,"48337",1,,
DUA800853100,10875,DUASN048375R03001332625,"48375",1,,
DUA800853100,10639,DUASN048375R03003332626,"48375",1,,
DUA800853100,10639,DUASN048347R03003332627,"48347",1,,
DUA800853100,10693,DUASN048374R04001332628,"48374",1,,
DUA800853100,10279,DUASN048364R04001332629,"48364",1,,
DUA800853100,10183,DUASN048366R03001332630,"48366",1,,
DUA800853100,10279,DUASN048370R02002332631,"48370",1,,
DUA800853100,10183,DUASN048370R02001332632,"48370",1,,
DUA800853100,10346,DUASN048354R03001332633,"48354",1,,
DUA800853100,10234,DUASN048336R03001332634,"48336",1,,
DUA800853100,10279,DUASN048366R04001332635,"48366",1,,
DUA800853100,10639,DUASN048350R02002332636,"48350",1,,
DUA800853100,10234,DUASN048340R02001332637,"48340",1,,
DUA800853100,10693,DUASN048376R02001332638,"48376",1,,
DUA800853100,10639,DUASN048374R03002332639,"48374",1,,
DUA800853100,10201,DUASN048340R02002332640,"48340",1,,
DUA800853100,10639,DUASN048376R02002332641,"48376",1,,
DUA800853100,10201,DUASN048362R02002332642,"48362",1,,
DUA800853100,10234,DUASN048362R02001332643,"48362",1,,
DUA800853100,10201,DUASN048336R04001332644,"48336",1,,
DUA800853100,10693,DUASN048350R02001332645,"48350",1,,
DUA800853100,10183,DUASN048358R02001332646,"48358",1,,
DUA800853100,10279,DUASN048356R02002332647,"48356",1,,
DUA800853100,10183,DUASN048364R03001332648,"48364",1,,
DUA800853100,10279,DUASN048358R02002332649,"48358",1,,
DUA800853100,10183,DUASN048356R02001332650,"48356",1,,
DUA800853100,10234,DUASN048334R04001332651,"48334",1,,
DUA800853100,10201,DUASN048334R02002332652,"48334",1,,
DUA800803102,10198,DUASN042511R01001332758,"42511",1,,
DUA800803102,10201,DUASN042503R01004332759,"42503",1,,
DUA800803102,10201,DUASN042517R01002332760,"42517",1,,
DUA800803102,10198,DUASN042505R01002332761,"42505",1,,
DUA800803102,10234,DUASN042517R02001332762,"42517",1,,
DUA800803102,10234,DUASN042503R01003332763,"42503",1,,
DUA800803102,10337,DUASN042501R01002332764,"42501",1,,
DUA800803102,10338,DUASN032551R03001332765,"32551",1,,
DUA800803102,10336,DUASN032551R02001332766,"32551",1,,
DUA800803102,10201,DUASN032551R01003332767,"32551",1,,
DUA800803102,10332,DUASN032543R01002332768,"32543",1,,
DUA800803102,10333,DUASN032569R02002332769,"32569",1,,
DUA800803102,10333,DUASN032555R01001332770,"32555",1,,
DUA800803102,10328,DUASN032571R01001332771,"32571",1,,
DUA800803102,10332,DUASN032563R01002332772,"32563",1,,
DUA800803102,10279,DUASN032561R01003332773,"32561",1,,
DUA800803102,10334,DUASN032547R01002332774,"32547",1,,
DUA800803102,10335,DUASN042509R01002332775,"42509",1,,
DUA800803102,10328,DUASN042507R02001332776,"42507",1,,
DUA800803102,10334,DUASN032545R01001332777,"32545",1,,
DUA800803102,10183,DUASN032561R01002332778,"32561",1,,
DUA800803102,10328,DUASN032557R01001332779,"32557",1,,
DUA800803102,10339,DUASN032548R01002332780,"32548",1,,
DUA800803102,10334,DUASN032544R01002332781,"32544",1,,
DUA800803102,10340,DUASN042516R01003332782,"42516",1,,
DUA800803102,10333,DUASN032550R01003332783,"32550",1,,
DUA800803102,10328,DUASN032570R01001332784,"32570",1,,
DUA800803102,10333,DUASN032566R02002332785,"32566",1,,
DUA800803102,10332,DUASN032560R01002332786,"32560",1,,
DUA800803102,10328,DUASN032574R02001332787,"32574",1,,
DUA800803102,10332,DUASN032542R01001332788,"32542",1,,
DUA800803102,10201,DUASN032556R01002332789,"32556",1,,
DUA800803102,10201,DUASN042500R01001332790,"42500",1,,
DUA800803102,10345,DUASN042500R01003332791,"42500",1,,
DUA800803102,10205,DUASN042502R03001332792,"42502",1,,
DUA800803102,10198,DUASN042502R03002332793,"42502",1,,
DUA800803102,10198,DUASN042508R01001332794,"42508",1,,
DUA800803102,10343,DUASN042510R01003332795,"42510",1,,
DUA800803102,10242,DUASN042512R01002332796,"42512",1,,
DUA800803102,10346,DUASN042512R01003332797,"42512",1,,
DUA800803102,10198,DUASN042514R01002332798,"42514",1,,
DUA800803102,10343,DUASN042524R01001332799,"42524",1,,
DUA800803102,10342,DUASN042512R01006332800,"42512",1,,
DUA800803102,10279,DUASN042518R01001332801,"42518",1,,
DUA800803102,10341,DUASN042516R01002332802,"42516",1,,
DUA800803102,10201,DUASN042520R01003332803,"42520",1,,
DUA800803102,10344,DUASN042512R01004332804,"42512",1,,
DUA800803102,10234,DUASN042520R01002332805,"42520",1,,
DUA800803102,10340,DUASN042526R01001332806,"42526",1,,
DUA800803102,10201,DUASN042522R01002332807,"42522",1,,
DUA800853103,10600,DUASN048017R02001335009,"48017",1,,
DUA800853103,10339,DUASN048105R01001335010,"48105",1,,
DUA800853103,10339,DUASN048109R01001335011,"48109",1,,
DUA800853103,10333,DUASN048115R02001335012,"48115",1,,
DUA800853103,10339,DUASN048121R01002335013,"48121",1,,
DUA800853103,10600,DUASN048123R02001335014,"48123",1,,
DUA800853103,10339,DUASN048129R01002335015,"48129",1,,
DUA800853103,10600,DUASN048133R01001335016,"48133",1,,
DUA800853103,10339,DUASN048137R01001335017,"48137",1,,
DUA800853103,10600,DUASN048143R02001335018,"48143",1,,
DUA800853103,10339,DUASN048149R01002335019,"48149",1,,
DUA800853103,10328,DUASN048151R01001335020,"48151",1,,
DUA800853103,10339,DUASN048157R01002335021,"48157",1,,
DUA800853103,10328,DUASN048163R02001335022,"48163",1,,
DUA800853103,10339,DUASN048169R01002335023,"48169",1,,
DUA800853103,10600,DUASN048173R01001335024,"48173",1,,
DUA800853103,10600,DUASN048179R01002335025,"48179",1,,
DUA800853103,10328,DUASN048183R01001335026,"48183",1,,
DUA800853103,10339,DUASN048189R01001335027,"48189",1,,
DUA800853103,10600,DUASN048195R01002335028,"48195",1,,
DUA800853103,10339,DUASN048199R01001335029,"48199",1,,
DUA800853103,10339,DUASN048205R01001335030,"48205",1,,
DUA800853103,10328,DUASN048209R01001335031,"48209",1,,
DUA800853103,10600,DUASN048215R01002335032,"48215",1,,
DUA800853103,10339,DUASN048219R01001335033,"48219",1,,
DUA800853103,10339,DUASN048225R01001335034,"48225",1,,
DUA800853103,10467,DUASN048229R01001335035,"48229",1,,
DUA800853103,10339,DUASN048235R01001335036,"48235",1,,
DUA800853103,10339,DUASN048245R01001335037,"48245",1,,
DUA800853103,10339,DUASN048251R09001335038,"48251",1,,
DUA800853103,10339,DUASN048261R05001335039,"48261",1,,
DUA800853103,10339,DUASN048267R08001335040,"48267",1,,
